Seite,Klicks,Impressionen,CTR,Position
https://statistik.zh.ch/internet/justiz_inneres/statistik/de/aktuell/mitteilungen/2010/armutsrechner.html,78,960,8.12%,9.94
https://statistik.zh.ch/dam/justiz_innern/statistik/Publikationen/statistik_info/si_2002_02_bevoelkerungswachstum.pdf.spooler.download.1392888973628.pdf/si_2002_02_bevoelkerungswachstum.pdf,77,1523,5.06%,9.7
https://statistik.zh.ch/dam/justiz_innern/statistik/Publikationen/statistik_info/si_2003_02_religionslandschaft.pdf.spooler.download.1326986001885.pdf/si_2003_02_religionslandschaft.pdf,77,1050,7.33%,12.2
https://statistik.zh.ch/internet/justiz_inneres/statistik/de/aktuell/mitteilungen/2013/migrationshintergrund.html,77,567,13.58%,11.89
https://statistik.zh.ch/fage,77,320,24.06%,13.4
https://statistik.zh.ch/internet/justiz_inneres/statistik/de/daten/daten_bevoelkerung_soziales/bevoelkerungsprognosen.html,75,1884,3.98%,8.39
https://statistik.zh.ch/content/dam/justiz_innern/statistik/Publikationen/statistik_info/si_2014_06_bevoelkerungsprognose.pdf,75,1737,4.32%,8.15
https://statistik.zh.ch/dam/justiz_innern/statistik/Publikationen/statistik_info/si_2017_04_Wohnflaeche.pdf.spooler.download.1493282657551.pdf/si_2017_04_Wohnflaeche.pdf,74,1374,5.39%,7.17
https://statistik.zh.ch/internet/justiz_inneres/statistik/de/daten/metadaten/steuerdaten.html,74,547,13.53%,4.63
https://statistik.zh.ch/dam/justiz_innern/statistik/Publikationen/statistik_info/si_2003_20_kanton_zh_wird_staedtischer.pdf.spooler.download.1326986143134.pdf/si_2003_20_kanton_zh_wird_staedtischer.pdf,72,2629,2.74%,12.17
https://statistik.zh.ch/dam/justiz_innern/statistik/Publikationen/statistik_info/si_2003_16_bevoelkerungszunahme.pdf.spooler.download.1326986129615.pdf/si_2003_16_bevoelkerungszunahme.pdf,72,2102,3.43%,8.13
https://statistik.zh.ch/dam/justiz_innern/statistik/Publikationen/statistik_info/si_2002_01_freiwilligenarbeit.pdf.spooler.download.1392888935484.pdf/si_2002_01_freiwilligenarbeit.pdf,70,2098,3.34%,22.3
https://statistik.zh.ch/dam/justiz_innern/statistik/Publikationen/statistik_info/si_2004_12_sommerwetter.pdf.spooler.download.1326986184516.pdf/si_2004_12_sommerwetter.pdf,70,547,12.8%,8.66
https://statistik.zh.ch/mzmv2010,69,806,8.56%,8.76
https://statistik.zh.ch/dam/justiz_innern/statistik/Publikationen/statistik_info/si_2007_12_bevoelkerungsprognosen.pdf.spooler.download.1326986340809.pdf/si_2007_12_bevoelkerungsprognosen.pdf,67,1183,5.66%,9.62
https://statistik.zh.ch/content/dam/justiz_innern/statistik/Publikationen/statistik_info/si_2015_08_dichte.pdf,67,1065,6.29%,9.9
https://statistik.zh.ch/internet/justiz_inneres/statistik/de/daten/daten_bevoelkerung_soziales/kriminalitaet.html,67,915,7.32%,5.71
https://statistik.zh.ch/internet/justiz_inneres/statistik/de/aktuell/mitteilungen/2017/zhiz17_arbeitsmarkt50plus.html,67,635,10.55%,11.72
https://statistik.zh.ch/dam/justiz_innern/statistik/Publikationen/statistik_info/si_2004_11_agglomeration.pdf.spooler.download.1326986184357.pdf/si_2004_11_agglomeration.pdf,66,4117,1.6%,11.34
https://statistik.zh.ch/internet/justiz_inneres/statistik/de/daten/daten_bevoelkerung_soziales/soziales/_jcr_content/contentPar/downloadlist/downloaditems/sozialbericht_des_ka_0.spooler.download.1512134545430.pdf/Sozialbericht_2016.pdf,66,2064,3.2%,8.48
"https://statistik.zh.ch/content/dam/justiz_innern/statistik/Publikationen/Spezialpublikationen/wirtschaftsregion 
winterthur_2009.pdf",66,1296,5.09%,9.93
https://statistik.zh.ch/dam/justiz_innern/statistik/Publikationen/statistik_info/si_2003_12_reiche_rentner.pdf.spooler.download.1326986112181.pdf/si_2003_12_reiche_rentner.pdf,66,947,6.97%,17.18
https://statistik.zh.ch/internet/justiz_inneres/statistik/de/themen/arbeit_wirtschaft.html,65,1020,6.37%,7.79
https://statistik.zh.ch/internet/justiz_inneres/statistik/de/ueber_uns/organisation/mitarbeitende/gabriel.html,65,284,22.89%,8.59
https://statistik.zh.ch/zv,64,412,15.53%,5.09
https://statistik.zh.ch/dam/justiz_innern/statistik/Publikationen/statistik_info/si_2010_08_einbuergerungen.pdf.spooler.download.1326986455779.pdf/si_2010_08_einbuergerungen.pdf,63,1894,3.33%,9.97
https://statistik.zh.ch/internet/justiz_inneres/statistik/de/daten/metadaten/handaenderungsstatistik.html,63,225,28%,3.09
https://statistik.zh.ch/content/dam/justiz_innern/statistik/Publikationen/Spezialpublikationen/schlussbericht_unternehmensbefragung_raumbedarf_nov2013.pdf,62,1080,5.74%,11.77
https://statistik.zh.ch/befragungen,62,869,7.13%,5.35
https://statistik.zh.ch/internet/justiz_inneres/statistik/de/ueber_uns/organisation/mitarbeitende/langenauer.html,62,309,20.06%,4.53
https://statistik.zh.ch/dam/justiz_innern/statistik/Publikationen/statistik_info/si_2015_07_haushaltsformen_gestern_heute.pdf.spooler.download.1455018900320.pdf/si_2015_07_haushaltsformen_gestern_heute.pdf,61,1089,5.6%,10.7
https://statistik.zh.ch/internet/justiz_inneres/statistik/de/daten/daten_arbeit_wirtschaft/volkswirtschaft.html,61,559,10.91%,9.77
https://statistik.zh.ch/internet/justiz_inneres/statistik/de/ueber_uns/organisation/mitarbeitende/keller.html,60,1599,3.75%,10.2
https://statistik.zh.ch/internet/justiz_inneres/statistik/de/aktuell/mitteilungen/2016/gewichtige_autos.html,60,1394,4.3%,22.54
https://statistik.zh.ch/internet/justiz_inneres/statistik/de/daten/daten_bevoelkerung_soziales/bevprognosen.html,60,1152,5.21%,5.24
https://statistik.zh.ch/gpzh/zh,59,504,11.71%,2.82
https://statistik.zh.ch/dam/justiz_innern/statistik/Publikationen/statistik_info/si_2009_08_vornamen.pdf.spooler.download.1326986415637.pdf/si_2009_08_vornamen.pdf,58,2918,1.99%,18.78
https://statistik.zh.ch/internet/justiz_inneres/statistik/de/themen/arbeit_wirtschaft/veroeffentlichungen/_jcr_content/contentPar/downloadlist/downloaditems/817_1510297744642.spooler.download.1510301816656.pdf/160426_KWB_WEB.pdf,58,1916,3.03%,28.57
https://statistik.zh.ch/internet/justiz_inneres/statistik/de/themen/zhiz/_jcr_content/contentPar/publication_1/publicationitems/kanton_z_rich_in_zah/download.spooler.download.1301563014384.pdf/zhiz2009.pdf,58,1485,3.91%,10.57
https://statistik.zh.ch/internet/justiz_inneres/statistik/de/interaktives/alterspyramide.html,58,915,6.34%,12.89
https://statistik.zh.ch/internet/justiz_inneres/statistik/de/aktuell.newsextern.-internet-de-aktuell-news-medienmitteilungen-2017-zentrale_45_lagen_45_teures_45_land.rss.contentPar.newsteaser.rss.html,58,450,12.89%,4.04
https://statistik.zh.ch/internet/justiz_inneres/statistik/de/themen/zhiz/_jcr_content/contentPar/publication_1/publicationitems/titel_wird_aus_dam_e_2/download.spooler.download.1367934697103.pdf/zhiz2013.pdf,57,1811,3.15%,7.65
https://statistik.zh.ch/dam/justiz_innern/statistik/Publikationen/statistik_info/si_2011_12_bodenpreise.pdf.spooler.download.1510137413562.pdf/si_2011_12_bodenpreise.pdf,57,589,9.68%,6.99
https://statistik.zh.ch/internet/justiz_inneres/statistik/de/aktuell.newsextern.-internet-de-aktuell-news-medienmitteilungen-2012-042_bevoelkerungswachstum.html,56,1837,3.05%,7.96
https://statistik.zh.ch/treibstoff,56,1431,3.91%,7.53
https://statistik.zh.ch/Aufnahmeverordnung,56,508,11.02%,4.7
https://statistik.zh.ch/internet/justiz_inneres/statistik/de/themen/zhiz/_jcr_content/contentPar/publication_1/publicationitems/kanton_z_rich_in_zah_0/download.spooler.download.1301563025828.pdf/zhiz2008.pdf,55,1913,2.88%,15.22
https://statistik.zh.ch/dam/justiz_innern/statistik/Publikationen/statistik_info/si_2009_06_steigende_geburtenzahlen.pdf.spooler.download.1326986407182.pdf/si_2009_06_steigende_geburtenzahlen.pdf,54,2473,2.18%,10.39
https://statistik.zh.ch/internet/justiz_inneres/statistik/de/aktuell/mitteilungen/2018/boden_webtool.html,54,624,8.65%,4.62
https://statistik.zh.ch/internet/justiz_inneres/statistik/de/ueber_uns/organisation/mitarbeitende/amsler.html,54,481,11.23%,20.56
