Bezeichnung,Eindeutige Seitenansichten,Seitenansichten,Von Besuchern verbrachte Gesamtzeit (in Sekunden),In den Suchergebnissen angeklickt,nb_hits_with_time_generation,min_time_generation,max_time_generation,Eingänge,Aktionen nach Eingang hier,Von Besuchern verbrachte Gesamtzeit (in Sekunden) nach Eingang hier,Absprünge,Ausstiege,Eindeutige Besucher (Tagessumme),Eindeutige Einstiege (Tagessumme),Eindeutige Ausstiege (Tagessumme),Durchschnittszeit pro Seite,Absprungsrate,Ausstiegsrate,Durchschnittliche Generierungszeit,Metadaten: url,Metadaten: segment
/internet/sicherheitsdirektion/kapo/de/aktuell/medienmitteilungen/2018_10/1810063t.html,933,2165,70017,,1592,0.001,16.95,336,838,19525,210,459,908,326,444,32,63%,49%,0.108,https://www.kapo.zh.ch/internet/sicherheitsdirektion/kapo/de/aktuell/medienmitteilungen/2018_10/1810063t.html,pageUrl==https%3A%2F%2Fwww.kapo.zh.ch%2Finternet%2Fsicherheitsdirektion%2Fkapo%2Fde%2Faktuell%2Fmedienmitteilungen%2F2018_10%2F1810063t.html
/internet/sicherheitsdirektion/kapo/de/jobs/sbf/bewerbung.html,912,1208,124980,1,1053,0.001,5.791,139,355,21730,81,460,836,117,413,103,58%,50%,0.13,http://www.kapo.zh.ch/internet/sicherheitsdirektion/kapo/de/jobs/sbf/bewerbung.html,pageUrl==http%3A%2F%2Fwww.kapo.zh.ch%2Finternet%2Fsicherheitsdirektion%2Fkapo%2Fde%2Fjobs%2Fsbf%2Fbewerbung.html
/internet/sicherheitsdirektion/kapo/de/aktuell/medienmitteilungen/2018_09/1809302h.html,903,1025,34279,,932,0.001,2.298,406,568,13936,346,480,884,395,466,33,85%,53%,0.117,https://www.kapo.zh.ch/internet/sicherheitsdirektion/kapo/de/aktuell/medienmitteilungen/2018_09/1809302h.html,pageUrl==https%3A%2F%2Fwww.kapo.zh.ch%2Finternet%2Fsicherheitsdirektion%2Fkapo%2Fde%2Faktuell%2Fmedienmitteilungen%2F2018_09%2F1809302h.html
/internet/sicherheitsdirektion/kapo/de/jobs/sbf/anforderungen.html,875,1104,54569,1,980,0.001,3.103,89,305,17669,42,161,838,76,145,49,47%,18%,0.128,http://www.kapo.zh.ch/internet/sicherheitsdirektion/kapo/de/jobs/sbf/anforderungen.html,pageUrl==http%3A%2F%2Fwww.kapo.zh.ch%2Finternet%2Fsicherheitsdirektion%2Fkapo%2Fde%2Fjobs%2Fsbf%2Fanforderungen.html
/internet/sicherheitsdirektion/kapo/de/aktuell/medienmitteilungen/2018_10/1810131h.html,811,894,28057,,852,0.001,2.415,356,420,4923,329,487,799,352,479,31,92%,60%,0.079,https://www.kapo.zh.ch/internet/sicherheitsdirektion/kapo/de/aktuell/medienmitteilungen/2018_10/1810131h.html,pageUrl==https%3A%2F%2Fwww.kapo.zh.ch%2Finternet%2Fsicherheitsdirektion%2Fkapo%2Fde%2Faktuell%2Fmedienmitteilungen%2F2018_10%2F1810131h.html
/internet/sicherheitsdirektion/kapo/de/aktuell/medienmitteilungen/2018_10/1810091h.html,747,983,33909,,884,0.001,6.941,382,517,9019,329,531,734,377,524,34,86%,71%,0.13,https://www.kapo.zh.ch/internet/sicherheitsdirektion/kapo/de/aktuell/medienmitteilungen/2018_10/1810091h.html,pageUrl==https%3A%2F%2Fwww.kapo.zh.ch%2Finternet%2Fsicherheitsdirektion%2Fkapo%2Fde%2Faktuell%2Fmedienmitteilungen%2F2018_10%2F1810091h.html
/internet/sicherheitsdirektion/kapo/de/aktuell/medienmitteilungen/2018_10/1810042r.html,712,776,29725,,738,0.001,6.573,213,298,9251,187,356,704,212,351,38,88%,50%,0.108,https://www.kapo.zh.ch/internet/sicherheitsdirektion/kapo/de/aktuell/medienmitteilungen/2018_10/1810042r.html,pageUrl==https%3A%2F%2Fwww.kapo.zh.ch%2Finternet%2Fsicherheitsdirektion%2Fkapo%2Fde%2Faktuell%2Fmedienmitteilungen%2F2018_10%2F1810042r.html
/internet/sicherheitsdirektion/kapo/de/aktuell/medienmitteilungen/2018_10/1810091f.html,712,856,20036,1,774,0.001,2.174,146,397,7208,82,258,704,146,256,23,56%,36%,0.08,https://www.kapo.zh.ch/internet/sicherheitsdirektion/kapo/de/aktuell/medienmitteilungen/2018_10/1810091f.html,pageUrl==https%3A%2F%2Fwww.kapo.zh.ch%2Finternet%2Fsicherheitsdirektion%2Fkapo%2Fde%2Faktuell%2Fmedienmitteilungen%2F2018_10%2F1810091f.html
/internet/sicherheitsdirektion/kapo/de/aktuell/medienmitteilungen/2018_10/1810091h0.html,706,798,30488,,751,0.001,17.214,317,351,4863,294,417,699,312,411,38,93%,59%,0.131,https://www.kapo.zh.ch/internet/sicherheitsdirektion/kapo/de/aktuell/medienmitteilungen/2018_10/1810091h0.html,pageUrl==https%3A%2F%2Fwww.kapo.zh.ch%2Finternet%2Fsicherheitsdirektion%2Fkapo%2Fde%2Faktuell%2Fmedienmitteilungen%2F2018_10%2F1810091h0.html
/internet/sicherheitsdirektion/kapo/de/aktuell/medienmitteilungen/2018_10/1810122H.html,671,755,13223,,687,0.001,2.744,125,235,4133,82,229,664,125,229,18,66%,34%,0.086,https://www.kapo.zh.ch/internet/sicherheitsdirektion/kapo/de/aktuell/medienmitteilungen/2018_10/1810122H.html,pageUrl==https%3A%2F%2Fwww.kapo.zh.ch%2Finternet%2Fsicherheitsdirektion%2Fkapo%2Fde%2Faktuell%2Fmedienmitteilungen%2F2018_10%2F1810122H.html
/internet/sicherheitsdirektion/kapo/de/aktuell/medienmitteilungen/2018_10/1810032m.html,668,1314,43469,,1029,0.001,10.26,192,377,8633,119,327,647,185,313,33,62%,49%,0.111,https://www.kapo.zh.ch/internet/sicherheitsdirektion/kapo/de/aktuell/medienmitteilungen/2018_10/1810032m.html,pageUrl==https%3A%2F%2Fwww.kapo.zh.ch%2Finternet%2Fsicherheitsdirektion%2Fkapo%2Fde%2Faktuell%2Fmedienmitteilungen%2F2018_10%2F1810032m.html
