Bezeichnung,Eindeutige Seitenansichten,Seitenansichten,Von Besuchern verbrachte Gesamtzeit (in Sekunden),In den Suchergebnissen angeklickt,nb_hits_with_time_generation,min_time_generation,max_time_generation,Eingänge,Aktionen nach Eingang hier,Von Besuchern verbrachte Gesamtzeit (in Sekunden) nach Eingang hier,Absprünge,Ausstiege,Eindeutige Besucher (Tagessumme),Eindeutige Einstiege (Tagessumme),Eindeutige Ausstiege (Tagessumme),Durchschnittszeit pro Seite,Absprungsrate,Ausstiegsrate,Durchschnittliche Generierungszeit
Wir gehen gegen Gewalttäter vor,121,141,7260,,131,0.001,1.869,33,66,1394,28,47,120,33,47,51,85%,39%,0.126
Bewilligungen/Gesuche,119,154,8072,8,133,0.001,4.414,27,112,6660,9,40,118,27,40,52,33%,34%,0.358
Tötungsdelikt in Zürich-West vom 20. März 2010 - Belohnung ausgesetzt - Zeugenaufruf,109,132,6139,,125,0.001,2.213,86,210,4352,54,78,109,86,78,47,63%,72%,0.197
Kommunikationsabteilung,108,137,5153,1,123,0.001,2.058,19,61,2265,7,20,106,19,19,38,37%,19%,0.318
Kinder- und Jugendinstruktion,106,139,2596,,124,0.001,2.209,43,251,7279,20,31,104,41,31,19,47%,29%,0.164
Weiningen: Vermisstmeldung - Willi Müller,104,115,3440,,102,0.001,1.989,3,3,0,3,27,104,3,27,30,100%,26%,0.52
Page Name not defined,102,238,0,,0,,0,,,,,,102,,,0,0%,0%,0
Schwerpunkte,102,159,12872,5,132,0.001,7.057,47,95,2379,35,60,98,44,57,81,74%,59%,0.461
Fachstelle Häusliche Gewalt,100,111,8192,1,99,0.001,1.798,57,127,5337,37,59,97,55,57,74,65%,59%,0.249
Für die Sicherheit auf Zürcher Autobahnen,99,107,4615,,103,0.001,1.065,40,43,1089,38,62,97,40,60,43,95%,63%,0.115
Gesuch Akteneinsicht in Polizeirapporte,97,138,11048,5,123,0.001,14.943,77,203,11762,49,67,95,75,65,80,64%,69%,0.502
Dübendorf: Vermisst wird Jürg Spycher,95,112,2422,,100,0.001,2.998,10,24,635,4,24,95,10,24,22,40%,25%,0.524
Fremde Autos auf dem Privatparkplatz?,94,102,5779,,97,0.002,2.665,93,141,6987,61,90,88,87,84,57,66%,96%,0.497
